,Age,NHLid,Position,GP,G,A,PTS,+/-,TOI/GP,IPP%,PTS/GP,Seasons
445,19,8478491,D,4,0,0,0,-1,16.43,0.0,0.0,1
446,24,8475728,C,36,6,5,11,-7,16.85,52.4,0.3055555555555556,5
447,26,8474873,D,5,0,0,0,-3,12.52,0.0,0.0,4
448,22,8476872,C,2,0,0,0,0,10.25,0.0,0.0,4
449,21,8477508,C,37,1,3,4,-8,9.13,50.0,0.10810810810810811,3
450,25,8475181,D,81,11,35,46,-3,22.72,49.5,0.5679012345679012,7
451,26,8475314,C,81,34,18,52,9,15.58,67.5,0.6419753086419753,5
452,21,8477476,LW,73,18,10,28,-1,13.87,63.6,0.3835616438356164,1
453,29,8474627,C,64,7,15,22,-6,15.18,44.9,0.34375,3
454,22,8476955,LW,10,1,1,2,-1,9.07,100.0,0.2,2
455,23,8476410,LW,13,2,8,10,2,12.57,90.9,0.7692307692307693,4
456,21,8478004,D,2,0,0,0,-1,19.0,0.0,0.0,2
457,29,8471724,D,41,5,29,34,2,25.52,55.7,0.8292682926829268,11
458,31,8473914,C,78,16,19,35,-2,14.23,56.5,0.44871794871794873,8
459,29,8473453,C,82,12,12,24,-6,14.27,66.7,0.2926829268292683,9
460,27,8475436,LW,1,0,0,0,-1,4.7,0.0,0.0,1
461,36,8468639,D,36,0,5,5,1,16.22,25.0,0.1388888888888889,1
462,25,8475715,C,65,8,12,20,2,10.83,71.4,0.3076923076923077,3
463,23,8476989,D,7,0,0,0,-4,12.98,0.0,0.0,1
464,22,8476902,D,73,6,12,18,8,21.87,26.9,0.2465753424657534,2
465,22,8478073,D,12,0,0,0,-8,14.77,0.0,0.0,1
466,22,8477496,C,72,11,34,45,-2,18.18,69.2,0.625,4
467,22,8476854,D,66,6,14,20,13,22.45,32.3,0.30303030303030304,4
468,29,8473412,C,59,21,26,47,-7,17.55,73.4,0.7966101694915254,10
469,26,8478371,LW/RW,2,0,1,1,0,14.43,100.0,0.5,1
