Position_previous,GP_previous,G_previous,A_previous,PTS_previous,+/-_previous,TOI_previous,IPP%_previous,Shots_previous,Shots_missed_previous,Shots_cbar_previous,Shots_post_previous,Team_previous,Position_next,GP_next,G_next,A_next,PTS_next,+/-_next,TOI_next,IPP%_next,Shots_next,Shots_missed_next,Shots_cbar_next,Shots_post_next,Team_next,latest_PTS,latest_+/-,latest_A,latest_G,latest_TOI
2,82,20,20,40,0,69129,87.0,165,34,0,5,58,2,82,20,13,33,1,64270,68.8,121,28,0,1,46,13,-12,10,3,45730
1,55,1,5,6,8,43530,18.8,28,18,0,0,58,1,18,1,4,5,8,15405,38.5,19,9,0,0,58,4,10,3,1,19707
0,80,8,21,29,4,60873,80.6,84,32,0,2,46,0,59,8,17,25,9,49230,75.8,82,18,0,2,46,17,-12,10,7,50746
1,16,0,2,2,-6,18518,33.3,15,6,0,0,48,1,33,3,8,11,5,26016,78.6,25,12,0,0,48,7,-7,6,1,58920
1,29,1,6,7,6,25745,38.9,43,17,0,0,39,1,31,2,9,11,3,29406,47.8,38,19,0,0,47,2,-1,2,0,4780
2,56,3,6,9,-1,31415,60.0,68,25,0,0,41,2,73,6,6,12,-2,46968,75.0,122,42,0,2,41,10,-4,4,6,31648
3,77,15,8,23,7,55052,71.9,80,27,0,2,46,3,66,5,15,20,2,55429,58.8,115,34,0,2,46,18,-7,10,8,58317
1,80,1,9,10,12,80411,20.4,92,42,0,2,53,1,80,5,7,12,-1,80335,27.9,102,39,0,1,53,15,3,14,1,69223
2,82,9,23,32,2,71004,88.9,131,48,0,2,28,2,82,16,19,35,11,74479,72.9,179,48,0,3,28,35,18,23,12,72956
1,70,0,12,12,-3,72404,34.3,72,31,0,2,50,1,81,5,21,26,26,96325,32.9,89,65,1,2,50,20,14,15,5,71457
2,81,12,24,36,-9,85668,75.0,142,38,0,2,36,2,77,8,12,20,-19,69229,57.1,103,40,0,1,36,34,5,21,13,75235
1,65,5,12,17,7,65278,39.5,109,42,0,1,29,1,24,0,1,1,-1,18910,10.0,21,14,0,0,29,21,3,10,11,66472
3,71,9,16,25,-1,55214,53.2,95,38,0,4,30,3,66,15,8,23,20,42331,60.5,81,17,0,0,58,27,-6,12,15,50412
0,77,7,6,13,8,36975,68.4,55,12,0,2,57,0,64,9,8,17,8,47398,65.4,77,24,1,1,57,28,17,19,9,67569
1,39,1,5,6,-12,33822,31.6,46,28,0,0,54,1,4,0,0,0,-1,2585,0.0,3,6,0,0,50,0,-1,0,0,3450
0,36,6,5,11,5,23179,73.3,41,10,0,0,49,0,60,6,10,16,-6,43204,76.2,99,26,0,1,49,19,-7,7,12,54795
0,52,15,21,36,2,54248,67.9,137,51,0,3,51,0,73,25,27,52,11,77114,72.2,174,65,2,2,51,61,-2,27,34,86802
0,63,11,28,39,8,70311,79.6,119,30,0,0,49,0,66,14,20,34,12,73045,60.7,120,39,1,2,49,76,34,45,31,106231
0,82,21,21,42,1,85152,70.0,140,46,0,1,42,0,82,18,38,56,13,82174,70.9,159,50,2,5,42,37,8,26,11,65471
3,52,5,5,10,-1,38161,90.9,68,20,1,3,39,3,69,10,6,16,9,43305,57.1,87,33,1,6,37,0,-1,0,0,2313
0,80,36,49,85,19,98253,84.2,248,89,1,4,50,0,75,44,45,89,17,89450,74.2,255,65,1,4,50,89,0,60,29,101791
0,82,16,16,32,5,68291,88.9,118,30,0,0,50,0,72,13,18,31,4,60128,73.8,94,32,1,0,50,22,-1,11,11,56369
1,71,2,6,8,-5,67022,32.0,64,27,1,0,29,1,43,2,4,6,-12,35832,42.9,37,25,0,0,32,5,-6,4,1,32402
1,82,6,22,28,9,90731,40.6,130,51,1,1,50,1,56,5,14,19,7,68471,32.2,84,31,1,1,50,16,-5,7,9,95616
0,2,1,0,1,0,1230,100.0,3,0,0,0,42,0,9,1,2,3,0,4620,60.0,8,3,0,0,42,0,-3,0,0,5358
2,51,4,6,10,-5,39037,100.0,72,25,0,1,43,2,82,13,27,40,5,76662,76.9,133,41,0,2,43,25,0,17,8,51754
0,34,5,5,10,-7,24993,83.3,54,20,1,0,57,0,38,4,7,11,0,24361,73.3,44,22,0,0,57,3,-2,1,2,9918
0,8,1,0,1,0,5431,33.3,7,3,0,0,29,0,24,2,1,3,-2,15710,60.0,32,4,0,0,29,0,-1,0,0,867
1,51,4,7,11,7,58741,35.5,63,37,1,1,39,1,38,0,3,3,-2,35841,15.0,42,16,0,0,39,7,-13,3,4,51464
1,72,2,14,16,3,89134,32.0,102,41,0,2,46,1,82,5,20,25,15,97653,33.3,116,57,0,1,46,12,11,11,1,37124
1,78,8,12,20,2,102045,47.6,72,29,1,0,38,1,82,4,8,12,-22,107976,21.8,85,40,0,0,38,12,2,6,6,79256
1,52,4,9,13,-8,73048,50.0,98,33,0,0,49,1,51,6,12,18,-5,59682,47.4,92,39,0,1,49,22,-8,16,6,102356
1,62,7,16,23,16,77629,47.9,94,56,0,2,37,1,81,9,19,28,-14,95309,45.2,98,55,0,0,40,20,-4,14,6,87503
0,65,11,18,29,-6,62411,69.0,90,20,0,1,43,0,49,6,8,14,4,36628,53.8,46,9,0,0,39,28,-22,22,6,55622
2,70,6,6,12,-14,43379,70.6,72,33,0,1,31,2,42,0,2,2,-6,18688,50.0,26,11,0,0,31,14,7,4,10,40350
2,41,7,10,17,0,35095,65.4,68,31,1,0,32,2,36,1,6,7,-12,26559,63.6,68,23,0,2,32,13,0,8,5,30876
0,1,1,0,1,1,715,100.0,2,0,0,0,37,0,10,2,0,2,-3,7074,100.0,9,4,0,1,37,2,-2,2,0,13825
1,76,2,9,11,8,76097,25.6,93,39,1,0,51,1,81,2,8,10,-2,80031,28.6,86,39,0,1,51,22,-7,17,5,84174
2,81,18,34,52,3,79579,69.3,156,56,1,4,29,2,59,9,29,38,-9,60112,69.1,108,38,0,3,29,45,-7,36,9,82194
3,76,11,25,36,4,64539,69.2,107,40,1,2,51,3,61,6,11,17,-5,50548,60.7,95,36,0,4,51,32,10,18,14,59293
3,71,5,11,16,-13,53635,69.6,91,33,0,1,55,3,14,1,3,4,-6,8343,80.0,24,2,0,0,55,9,-1,2,7,18338
1,82,14,37,51,24,137848,57.3,197,104,0,3,41,1,82,12,32,44,8,133550,45.4,181,61,2,1,41,60,23,50,10,132031
0,5,0,0,0,1,3173,0.0,3,2,0,0,41,0,70,6,16,22,-15,52314,73.3,78,31,0,4,41,4,-10,1,3,35401
0,72,19,32,51,-2,78014,81.0,133,40,0,3,39,0,82,29,48,77,7,92909,70.0,173,66,0,6,39,70,-7,45,25,90419
2,21,4,6,10,1,18198,62.5,25,14,0,1,53,2,73,21,32,53,-13,77555,71.6,183,53,3,7,53,46,-28,33,13,81309
0,75,17,31,48,-16,84434,85.7,158,46,2,1,33,0,80,12,29,41,16,85898,63.1,115,39,1,1,33,16,-2,10,6,57072
0,76,30,29,59,-8,84773,84.3,200,59,0,3,36,0,77,18,23,41,-34,84565,75.9,160,64,1,2,36,59,-22,32,27,90194
2,81,20,24,44,12,69884,63.8,105,49,0,2,29,2,58,5,10,15,-7,46282,50.0,76,28,0,2,29,23,-5,12,11,44632
1,81,10,16,26,1,81845,40.6,152,67,1,4,42,1,76,11,23,34,15,92686,38.2,131,47,0,2,42,50,15,36,14,117169
1,79,0,16,16,11,89518,30.2,101,37,0,1,50,1,70,1,14,15,0,86294,25.4,78,25,0,1,50,18,-5,13,5,98964
2,30,3,6,9,4,19436,64.3,23,8,0,1,48,2,81,14,18,32,7,69926,64.0,123,32,1,3,48,41,-17,18,23,78186
0,82,16,19,35,3,80531,74.5,133,45,0,2,37,0,60,3,9,12,-7,60535,42.9,82,46,0,2,37,27,-6,16,11,69768
3,54,11,6,17,-5,42038,45.9,86,36,0,1,37,3,79,32,19,51,-2,77776,62.2,209,79,2,6,28,1,0,0,1,1975
3,69,25,22,47,-12,73924,79.7,173,57,2,1,39,3,82,20,31,51,3,82497,70.8,208,81,1,7,39,59,5,34,25,78091
1,67,1,8,9,0,60016,33.3,90,43,0,0,52,1,69,3,12,15,11,73562,34.1,81,35,0,1,52,17,-1,10,7,85865
3,72,15,23,38,3,69556,66.7,167,66,4,3,57,2,82,25,39,64,1,86032,77.1,204,82,2,9,57,60,14,31,29,79116
0,81,24,32,56,-16,92931,83.6,238,85,1,4,31,0,61,24,33,57,-13,72908,78.1,249,79,1,4,31,64,-25,39,25,80976
1,78,15,21,36,18,101449,46.8,182,55,1,2,40,1,68,10,11,21,-23,87557,42.0,225,67,1,3,40,38,9,22,16,115074
1,82,8,27,35,14,99589,50.0,114,55,0,1,45,1,82,3,20,23,4,115415,32.9,120,65,0,3,45,34,25,24,10,114586
1,75,21,34,55,-6,111463,51.9,228,95,1,7,29,1,79,12,27,39,-25,116677,45.9,145,75,0,4,29,42,-28,28,14,116515
0,79,13,13,26,-13,72319,63.4,149,55,1,4,43,0,81,12,13,25,15,67558,56.8,115,51,0,3,58,38,-6,20,18,74361
1,79,10,22,32,13,99059,45.7,152,43,1,4,45,1,71,16,22,38,17,102052,42.7,140,53,1,3,45,32,26,23,9,61661
1,72,0,12,12,-7,88551,33.3,71,42,0,0,43,1,76,2,8,10,1,97227,22.2,82,44,0,1,43,9,9,8,1,76979
1,69,3,9,12,7,63058,29.3,71,27,0,2,34,1,81,4,12,16,2,89083,35.6,107,31,0,3,34,23,6,18,5,96128
0,23,3,8,11,-9,24934,78.6,57,21,1,1,31,2,51,5,8,13,-10,39278,56.5,89,20,0,3,31,22,-1,14,8,52443
1,71,3,12,15,2,78957,36.6,68,41,0,1,38,1,51,1,8,9,-2,58815,25.0,43,26,0,0,38,13,-7,10,3,93839
3,82,30,33,63,13,95850,72.4,184,48,0,3,30,2,65,11,13,24,-9,72843,54.5,132,24,0,3,55,23,0,13,10,48808
0,45,5,7,12,9,33355,60.0,67,30,0,3,37,0,80,12,21,33,-6,77628,66.0,132,66,1,4,37,33,21,16,17,72386
1,24,0,4,4,2,20485,26.7,16,9,0,0,33,1,52,0,8,8,-3,42738,42.1,33,22,1,2,31,2,-16,1,1,44404
3,7,1,1,2,2,4839,50.0,9,5,0,0,31,3,10,0,1,1,-1,6245,100.0,6,3,0,0,31,0,-1,0,0,2910
3,79,10,20,30,9,70807,78.9,75,35,0,1,47,3,68,6,15,21,6,56290,58.3,56,24,0,1,47,33,-10,20,13,63396
1,64,16,21,37,-22,92331,60.7,184,68,2,4,32,1,75,17,20,37,-18,104133,52.9,225,87,1,5,32,31,-26,23,8,101541
1,1,0,1,1,1,1128,100.0,0,0,0,0,55,1,27,0,7,7,3,21649,43.8,24,8,0,0,31,1,-1,1,0,6167
0,55,8,6,14,0,43084,73.7,74,23,0,1,50,0,53,6,5,11,2,34751,61.1,62,15,0,2,50,4,6,1,3,12724
2,71,4,14,18,-15,53730,51.4,122,36,1,1,34,2,76,15,10,25,-1,52736,67.6,106,39,0,0,34,41,5,20,21,69389
2,5,1,0,1,0,3946,100.0,11,5,0,0,45,2,54,11,5,16,1,43780,69.6,114,32,0,0,45,48,20,25,23,72709
0,76,8,23,31,-6,83251,70.5,101,26,0,1,53,0,79,12,30,42,-1,82505,65.6,97,29,0,2,49,33,-7,22,11,80077
0,70,13,10,23,-14,72085,54.8,98,33,1,2,45,0,72,18,24,42,1,71785,66.7,120,41,2,0,45,4,0,2,2,11851
